YOM,Engine (cc),Gear,Millage(KM),Leasing,Condition,AIR CONDITION,POWER STEERING,POWER MIRROR,POWER WINDOW,Price,Year_Listed,Month_Listed,Car_Age,Mileage_per_year,Fuel Type_Diesel,Fuel Type_Electric,Fuel Type_Hybrid,Fuel Type_Petrol,Brand_Freq,Model_Freq,Brand_AvgPrice,Model_AvgPrice,BrandModel_AvgPrice,BrandModelYear_AvgPrice,Luxury_Brand
2009,798.0,0,176000.0,0,0,1,1,1,1,1240000.0,2024,12,16,11000.0,0.0,0.0,0.0,1.0,44,39,1385096.5909090908,1346006.4102564103,1346006.4102564103,1377500.0,0
2009,800.0,0,176000.0,0,0,1,1,1,1,1495000.0,2024,12,16,11000.0,0.0,0.0,0.0,1.0,44,39,1385096.5909090908,1346006.4102564103,1346006.4102564103,1377500.0,0
2011,800.0,0,154000.0,0,0,1,1,0,1,1385000.0,2024,12,14,11000.0,0.0,0.0,0.0,1.0,44,39,1385096.5909090908,1346006.4102564103,1346006.4102564103,1297250.0,0
2010,670.0,0,165000.0,0,0,0,0,1,1,1837500.0,2024,12,15,11000.0,0.0,0.0,0.0,1.0,44,39,1385096.5909090908,1346006.4102564103,1346006.4102564103,1837500.0,0
2007,800.0,0,198000.0,0,0,1,1,1,0,1250000.0,2024,12,18,11000.0,0.0,0.0,0.0,1.0,44,39,1385096.5909090908,1346006.4102564103,1346006.4102564103,1348000.0,0
2007,800.0,0,198000.0,0,0,1,1,1,1,1450000.0,2024,12,18,11000.0,0.0,0.0,0.0,1.0,44,39,1385096.5909090908,1346006.4102564103,1346006.4102564103,1348000.0,0
2009,800.0,0,176000.0,0,0,1,1,1,1,1500000.0,2024,12,16,11000.0,0.0,0.0,0.0,1.0,44,39,1385096.5909090908,1346006.4102564103,1346006.4102564103,1377500.0,0
2007,800.0,0,198000.0,0,0,1,1,1,1,1300000.0,2025,1,18,11000.0,0.0,0.0,0.0,1.0,44,4,1385096.5909090908,1325000.0,1325000.0,1300000.0,0
2007,833.0,0,198000.0,0,0,1,1,1,1,1300000.0,2025,1,18,11000.0,0.0,0.0,0.0,1.0,44,4,1385096.5909090908,1325000.0,1325000.0,1300000.0,0
2006,800.0,0,209000.0,0,0,1,1,1,1,1325000.0,2025,1,19,11000.0,0.0,0.0,0.0,1.0,44,4,1385096.5909090908,1325000.0,1325000.0,1325000.0,0
2011,900.0,0,154000.0,0,0,1,1,1,1,1375000.0,2024,12,14,11000.0,0.0,0.0,0.0,1.0,44,4,1385096.5909090908,1325000.0,1325000.0,1375000.0,0
2007,1400.0,0,198000.0,0,0,0,1,0,1,3100000.0,2025,1,18,11000.0,0.0,0.0,0.0,1.0,37,3,3579003.378378378,3008333.3333333335,3008333.3333333335,3100000.0,0
2008,1200.0,0,187000.0,0,0,0,1,0,0,2375000.0,2025,1,17,11000.0,0.0,0.0,0.0,1.0,37,3,3579003.378378378,3008333.3333333335,3008333.3333333335,2962500.0,0
2008,1400.0,0,187000.0,0,0,1,1,1,1,3550000.0,2024,12,17,11000.0,0.0,0.0,0.0,1.0,37,3,3579003.378378378,3008333.3333333335,3008333.3333333335,2962500.0,0
2007,1100.0,0,198000.0,0,0,1,1,0,1,2700000.0,2024,12,18,11000.0,0.0,0.0,0.0,1.0,37,1,3579003.378378378,2700000.0,2700000.0,2700000.0,0
2011,1200.0,0,154000.0,0,0,1,1,0,1,2750000.0,2024,12,14,11000.0,0.0,0.0,0.0,1.0,37,1,3579003.378378378,2750000.0,2750000.0,2750000.0,0
2003,1300.0,1,242000.0,0,0,1,1,1,1,3550000.0,2025,2,22,11000.0,0.0,0.0,0.0,1.0,37,24,3579003.378378378,3734583.3333333335,3734583.3333333335,3743571.4285714286,0
2003,1300.0,1,242000.0,0,0,1,1,1,1,3485000.0,2025,2,22,11000.0,0.0,0.0,0.0,1.0,37,24,3579003.378378378,3734583.3333333335,3734583.3333333335,3743571.4285714286,0
2002,1300.0,1,253000.0,0,0,1,1,1,1,3585000.0,2025,2,23,11000.0,0.0,0.0,0.0,1.0,37,24,3579003.378378378,3734583.3333333335,3734583.3333333335,3687500.0,0
2004,1320.0,1,231000.0,0,0,1,1,1,0,3737500.0,2025,2,21,11000.0,0.0,0.0,0.0,1.0,37,24,3579003.378378378,3734583.3333333335,3734583.3333333335,3737500.0,0
2003,1320.0,1,242000.0,0,0,1,1,1,1,3950000.0,2025,2,22,11000.0,0.0,0.0,0.0,1.0,37,24,3579003.378378378,3734583.3333333335,3734583.3333333335,3743571.4285714286,0
2002,1320.0,1,253000.0,0,0,1,1,0,1,3990000.0,2025,2,23,11000.0,0.0,0.0,0.0,1.0,37,24,3579003.378378378,3734583.3333333335,3734583.3333333335,3687500.0,0
2006,1300.0,1,209000.0,0,0,1,1,1,1,3700000.0,2025,2,19,11000.0,0.0,0.0,0.0,1.0,37,24,3579003.378378378,3734583.3333333335,3734583.3333333335,3783333.3333333335,0
2004,1300.0,1,231000.0,0,0,1,1,0,1,3737500.0,2025,2,21,11000.0,0.0,0.0,0.0,1.0,37,24,3579003.378378378,3734583.3333333335,3734583.3333333335,3737500.0,0
2002,1300.0,1,253000.0,0,0,1,1,1,1,3675000.0,2025,1,23,11000.0,0.0,0.0,0.0,1.0,37,24,3579003.378378378,3734583.3333333335,3734583.3333333335,3687500.0,0
2004,1320.0,1,231000.0,0,0,1,1,0,1,3600000.0,2025,1,21,11000.0,0.0,0.0,0.0,1.0,37,24,3579003.378378378,3734583.3333333335,3734583.3333333335,3737500.0,0
2004,1330.0,1,231000.0,0,0,1,1,1,1,3575000.0,2025,1,21,11000.0,0.0,0.0,0.0,1.0,37,24,3579003.378378378,3734583.3333333335,3734583.3333333335,3737500.0,0
2006,1300.0,1,209000.0,0,0,1,1,1,1,3750000.0,2025,1,19,11000.0,0.0,0.0,0.0,1.0,37,24,3579003.378378378,3734583.3333333335,3734583.3333333335,3783333.3333333335,0
2003,1320.0,1,242000.0,0,0,1,1,1,1,3790000.0,2025,1,22,11000.0,0.0,0.0,0.0,1.0,37,24,3579003.378378378,3734583.3333333335,3734583.3333333335,3743571.4285714286,0
