Unnamed: 0,Brand,Model,YOM,Engine (cc),Gear,Fuel Type,Millage(KM),Town,Date,Leasing,Condition,AIR CONDITION,POWER STEERING,POWER MIRROR,POWER WINDOW,Price
4419.0,SUZUKI,ALTO,2015.0,800.0,Manual,Petrol,110000.0,Embilipitiya,2024-12-19,No Leasing,USED,Available,Available,Not_Available,Not_Available,31.0
4420.0,SUZUKI,ALTO,2011.0,800.0,Manual,Petrol,154000.0,Tangalle,2024-12-19,No Leasing,USED,Available,Available,Not_Available,Not_Available,26.45
4421.0,SUZUKI,ALTO,2011.0,800.0,Manual,Petrol,154000.0,Matara,2024-12-19,No Leasing,USED,Available,Available,Not_Available,Not_Available,25.9
4422.0,SUZUKI,ALTO,2015.0,800.0,Manual,Petrol,110000.0,Kaduwela,2024-12-19,No Leasing,USED,Available,Available,Not_Available,Not_Available,32.9
4423.0,SUZUKI,ALTO,2015.0,800.0,Manual,Petrol,110000.0,Kurunegala,2024-12-19,No Leasing,USED,Available,Available,Not_Available,Available,34.75
,SUZUKI,ALTO,2016.0,,,Petrol,99000.0,Matara,2024-12-19,No Leasing,USED,Available,Available,Not_Available,Available,34.41428571428572
4425.0,SUZUKI,ALTO,,800.0,Manual,Petrol,110000.0,Horana,,No Leasing,USED,Available,Available,,Available,34.0
4426.0,SUZUKI,ALTO,2014.0,800.0,Manual,Petrol,121000.0,Piliyandala,2024-12-18,No Leasing,USED,Available,Available,Not_Available,Available,31.5
4427.0,SUZUKI,ALTO,2015.0,650.0,Manual,Petrol,110000.0,Homagama,2024-12-18,No Leasing,USED,Available,Not_Available,Available,Not_Available,32.5
4428.0,SUZUKI,ALTO,2015.0,800.0,Manual,Petrol,110000.0,Haputale,2024-12-18,No Leasing,USED,Available,Available,Available,Available,31.9
4429.0,SUZUKI,ALTO,2016.0,640.0,Automatic,Petrol,99000.0,Eheliyagoda,2024-12-18,Ongoing Lease,USED,Available,Available,Available,Available,34.41428571428572
4430.0,SUZUKI,ALTO,2015.0,800.0,Manual,Petrol,110000.0,Polonnaruwa,2024-12-17,No Leasing,USED,Available,Available,Not_Available,Not_Available,33.02984496124031
4431.0,SUZUKI,ALTO,2015.0,800.0,Manual,Petrol,110000.0,Gampola,2024-12-17,No Leasing,USED,Available,Available,Not_Available,Available,32.75
4432.0,SUZUKI,ALTO,2007.0,800.0,Manual,Petrol,198000.0,Kalutara,2024-12-16,No Leasing,USED,Available,Available,Available,Not_Available,22.9
